1	20427869833
2	11806663338
3	478851570
4	493526556
5	637916413
6	944905184
7	2095736419
8	4034799737
9	306286820
10	210273613
11	1062574076
12	1413131118
13	121548320
14	3647431
15	387823284
16	81002636
17	20702057
19	1531761
20	5659266
21	209932
22	70772661
23	79416320
24	118405117
25	320239074
26	171936534
27	175281503
28	181815318
29	736531998
30	1189087070
31	2391432030
32	1925161549
33	245083366
34	750034032
35	1189535893
36	120889666
37	824978002
38	88994229
39	90686174
40	75655616
41	33558875
42	10746432
43	2639752
44	73601549
45	40481435
46	6924220
47	2570498
48	31149364
49	10127189
50	24800652
51	4593921
52	11628915
53	39567892
54	4928127
55	905855
